Matched_REFSEQ	SEQID	Identifier_type	SRA_accession	Strain	Source1	Source2	Serotype	STX
2018-STH-0258	2018-STH-0258	pre-matched	SRR28490897	CFIAFB20190230	Meat	Meat	O91:H14	Stx2b,Stx1a
2018-STH-0259	2018-STH-0259	pre-matched	SRR28490887	CFIAFB20190231	Meat	Meat	O183:H18	Stx2a,Stx1a
2018-STH-0260	2018-STH-0260	pre-matched	SRR28490872	CFIAFB20190232	Meat	Meat	O128:H2	Stx2a,Stx2b,Stx1c
2019-BUR-0117	2019-BUR-0117	pre-matched	SRR28490881	CFIAFB20190265	Meat	Meat	O128:H2	Stx2b,Stx1c
2019-BUR-0118	2019-BUR-0118	pre-matched	SRR28490834	CFIAFB20190266	Meat	Meat	O159:H19	Stx2k,Stx2a
2019-CAL-0097	2019-CAL-0097	pre-matched	SRR22858833	CFIAFB20010012	Meat	Meat	O157:H7	Stx2a,Stx1a
2019-CAL-0098	2019-CAL-0098	pre-matched	SRR22858834	CFIAFB20010013	Meat	Meat	O157:H7	Stx2a,Stx1a
2019-CAL-0099	2019-CAL-0099	pre-matched	SRR22858835	CFIAFB20010014	Meat	Meat	O157:H7	Stx2a
2019-DAR-0015	2019-DAR-0015	pre-matched	SRR22858716	CFIAFB20180603	Meat	Lamb	OUT:H21	Stx2i
2019-DAR-0017	2019-DAR-0017	pre-matched	SRR22858749	CFIAFB20180604	Meat	Lamb	OUT:H21	Stx2i
2019-DAR-0018	2019-DAR-0018	pre-matched	SRR22858760	CFIAFB20180605	Meat	Lamb	OUT:H21	Stx2i
2019-DAR-0020	2019-DAR-0020	pre-matched	SRR28490859	CFIAFB20190223	Meat	Meat	O91:H14	Stx2b,Stx1a
2019-DAR-0250	2019-DAR-0250	pre-matched	SRR28490853	CFIAFB20180611	Meat	Meat	O75:H8	Stx2b,Stx1a
2019-DAR-0251	2019-DAR-0251	pre-matched	SRR28490824	CFIAFB20180612	Meat	Meat	O146:H8	Stx1c
2019-DAR-0257	2019-DAR-0257	pre-matched	SRR28490866	CFIAFB20180618	Meat	Meat	O91:H14	Stx2b,Stx1a
2019-DAR-0258	2019-DAR-0258	pre-matched	SRR28490852	CFIAFB20190302	Meat	Meat	O15:H16	Stx2g
2019-DAR-0260	2019-DAR-0260	pre-matched	SRR28490878	CFIAFB20190304	Meat	Meat	O128:H2	Stx2b,Stx1c
2019-DAR-0262	2019-DAR-0262	pre-matched	SRR28490895	CFIAFB20190306	Meat	Meat	O6:H10	Stx1c
2019-DAR-0263	2019-DAR-0263	pre-matched	SRR28490854	CFIAFB20190307	Meat	Meat	O98:H25	Stx1a
2019-DAR-0290	2019-DAR-0290	pre-matched	SRR28490838	CFIAFB20200103	Meat	Meat	O38:H26	Stx2b,Stx1c
2019-DAR-0291	2019-DAR-0291	pre-matched	SRR28490906	CFIAFB20200104	Meat	Meat	O91:H14	Stx2b
2019-DAR-0295	2019-DAR-0295	pre-matched	SRR28490818	CFIAFB20200108	Meat	Meat	O146:H8	Stx1c
2019-MER-0039	2019-MER-0039	pre-matched	SRR22858763	CFIAFB20130345	Meat	Meat	O157:H7	Stx1a,Stx2c
