Matched_REFSEQ	SEQID	Identifier_type	SRA_accession	Strain	Source1	Source2	Serotype	STX
2013-SEQ-0045	2013-SEQ-0045	pre-matched	SRR22858767	CFIAFB20130349	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx2a,Stx1a
2013-SEQ-0046	2013-SEQ-0046	pre-matched	SRR22858863	CFIAFB20130338	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx2a,Stx1a
2013-SEQ-0047	2013-SEQ-0047	pre-matched	SRR22858874	CFIAFB20130339	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx2a,Stx1a
2013-SEQ-0048	2013-SEQ-0048	pre-matched	SRR22858890	CFIAFB20130340	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx1a,Stx2a
2013-SEQ-0109	2013-SEQ-0109	pre-matched	SRR7629310	CFIAFB20120240	Meat	Meat	O157:H7	Stx2a
2013-SEQ-0110	2013-SEQ-0110	pre-matched	SRR7629295	CFIAFB20120241	Meat	Meat	O157:H7	Stx1a,Stx2a
2013-SEQ-0111	2013-SEQ-0111	pre-matched	SRR7629318	CFIAFB20130130	Meat	Meat	O157:H7	Stx2a
2014-SEQ-0093	2014-SEQ-0093	pre-matched	SRR22858879	CFIAFB20100227	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0094	2014-SEQ-0094	pre-matched	SRR22858885	CFIAFB20100228	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0095	2014-SEQ-0095	pre-matched	SRR22858886	CFIAFB20100229	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0096	2014-SEQ-0096	pre-matched	SRR22858887	CFIAFB20100230	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0148	2014-SEQ-0148	pre-matched	SRR7536943	CFIAFB20120182	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0149	2014-SEQ-0149	pre-matched	SRR22858897	CFIAFB20120201	Meat	Meat	O157:H7	Stx2a
2014-SEQ-0179	2014-SEQ-0179	pre-matched	SRR7629283	CFIAFB20120186	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0181	2014-SEQ-0181	pre-matched	SRR7629285	CFIAFB20120216	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0182	2014-SEQ-0182	pre-matched	SRR7629287	CFIAFB20120244	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0183	2014-SEQ-0183	pre-matched	SRR7629319	CFIAFB20120252	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0184	2014-SEQ-0184	pre-matched	SRR7629327	CFIAFB20130141	Meat	Meat	O157:H7	Stx2a
2014-SEQ-0186	2014-SEQ-0186	pre-matched	SRR22858762	CFIAFB20130344	Meat	Meat	O157:H7	Stx1a,Stx2c
2014-SEQ-0245	2014-SEQ-0245	pre-matched	SRR22858813	CFIAFB20130343	Nuts/Seeds	Nuts/Seeds	O185:H7	Stx2c
2014-SEQ-0246	2014-SEQ-0246	pre-matched	SRR22858902	CFIAFB20130342	Nuts/Seeds	Nuts/Seeds	O185:H7	Stx2c
2014-SEQ-0252	2014-SEQ-0252	pre-matched	SRR7629317	CFIAFB20120192	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0349	2014-SEQ-0349	pre-matched	SRR14750047	CFIAFB20140388	Vegetable	Vegetable	OUT:H23	Stx2j
2014-SEQ-0350	2014-SEQ-0350	pre-matched	SRR22858765	CFIAFB20130347	Meat	Meat	O113:H21	Stx2d
2014-SEQ-0351	2014-SEQ-0351	pre-matched	SRR22858766	CFIAFB20130348	Meat	Meat	O113:H21	Stx2d
2014-SEQ-0445	2014-SEQ-0445	pre-matched	SRR22858770	CFIAFB20140238	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0446	2014-SEQ-0446	pre-matched	SRR22858776	CFIAFB20140243	Meat	Meat	O157:H7	Stx2c
2014-SEQ-0447	2014-SEQ-0447	pre-matched	SRR22858778	CFIAFB20140245	Meat	Meat	O157:H7	Stx2c
2014-SEQ-0448	2014-SEQ-0448	pre-matched	SRR22858780	CFIAFB20140247	Meat	Meat	O157:H7	Stx2c
2014-SEQ-0449	2014-SEQ-0449	pre-matched	SRR22858783	CFIAFB20140250	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0450	2014-SEQ-0450	pre-matched	SRR22858784	CFIAFB20140251	Meat	Meat	O157:H7	Stx2c
2014-SEQ-0453	2014-SEQ-0453	pre-matched	SRR22858790	CFIAFB20140257	Environment	Environment	O157:H7	Stx2c
2014-SEQ-0455	2014-SEQ-0455	pre-matched	SRR22858794	CFIAFB20140260	Environment	Environment	O157:H7	Stx2c,Stx1a
2014-SEQ-0456	2014-SEQ-0456	pre-matched	SRR7629321	CFIAFB20130252	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2014-SEQ-0457	2014-SEQ-0457	pre-matched	SRR7629286	CFIAFB20130254	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2014-SEQ-0757	2014-SEQ-0757	pre-matched	SRR22858796	CFIAFB20140303	Vegetable	Vegetable	O146:H32	Stx2a
2014-SEQ-0758	2014-SEQ-0758	pre-matched	SRR22858797	CFIAFB20140304	Vegetable	Vegetable	O146:H32	Stx2a
2014-SEQ-1296	2014-SEQ-1296	pre-matched	SRR22858803	CFIAFB20150310	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2014-SEQ-1297	2014-SEQ-1297	pre-matched	SRR22858805	CFIAFB20150311	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2014-SEQ-1298	2014-SEQ-1298	pre-matched	SRR22858806	CFIAFB20150312	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2014-SEQ-1300	2014-SEQ-1300	pre-matched	SRR22858807	CFIAFB20150314	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2014-SEQ-1301	2014-SEQ-1301	pre-matched	SRR22858808	CFIAFB20150315	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2014-SEQ-1302	2014-SEQ-1302	pre-matched	SRR22858857	CFIAFB20090190	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-1303	2014-SEQ-1303	pre-matched	SRR22858858	CFIAFB20090191	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-1304	2014-SEQ-1304	pre-matched	SRR22858859	CFIAFB20090193	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-1305	2014-SEQ-1305	pre-matched	SRR22858860	CFIAFB20090196	Meat	Meat	O157:H7	Stx2a
2014-SEQ-1306	2014-SEQ-1306	pre-matched	SRR22858861	CFIAFB20090198	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-1307	2014-SEQ-1307	pre-matched	SRR22858862	CFIAFB20090199	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-1308	2014-SEQ-1308	pre-matched	SRR22858864	CFIAFB20090201	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-1309	2014-SEQ-1309	pre-matched	SRR22858865	CFIAFB20090227	Meat	Meat	O157:H7	Stx2a
2014-SEQ-1312	2014-SEQ-1312	pre-matched	SRR22858867	CFIAFB20100182	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-1314	2014-SEQ-1314	pre-matched	SRR22858869	CFIAFB20100190	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-1315	2014-SEQ-1315	pre-matched	SRR22858870	CFIAFB20100193	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-0036	2015-SEQ-0036	pre-matched	SRR22858871	CFIAFB20100212	Meat	Meat	O157:H7	Stx2c
2015-SEQ-0037	2015-SEQ-0037	pre-matched	SRR22858872	CFIAFB20100213	Meat	Meat	O157:H7	Stx2c
2015-SEQ-0039	2015-SEQ-0039	pre-matched	SRR22858875	CFIAFB20100215	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-0040	2015-SEQ-0040	pre-matched	SRR22858888	CFIAFB20110113	Meat	Meat	O157:H7	Stx2c
2015-SEQ-0044	2015-SEQ-0044	pre-matched	SRR22858894	CFIAFB20120176	Meat	Meat	O157:H7	Stx1a,Stx2c
2015-SEQ-0046	2015-SEQ-0046	pre-matched	SRR22858896	CFIAFB20120199	Meat	Meat	O157:H7	Stx2c
2015-SEQ-0048	2015-SEQ-0048	pre-matched	SRR22858898	CFIAFB20120210	Meat	Meat	O157:H7	Stx2c
2015-SEQ-0049	2015-SEQ-0049	pre-matched	SRR22858899	CFIAFB20120211	Meat	Meat	O157:H7	Stx2c
2015-SEQ-0051	2015-SEQ-0051	pre-matched	SRR22858880	CFIAFB20120219	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-0056	2015-SEQ-0056	pre-matched	SRR7629323	CFIAFB20130259	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2015-SEQ-0113	2015-SEQ-0113	pre-matched	SRR8448492	CFIAFB20150316	Meat	Meat	OUT:H26	Stx2e
2015-SEQ-0655	2015-SEQ-0655	pre-matched	SRR8448488	CFIAFB20150322	Meat	Meat	O121:H10	Stx2e
2015-SEQ-0656	2015-SEQ-0656	pre-matched	SRR22858809	CFIAFB20150324	Meat	Meat	O121:H10	Stx2e
2015-SEQ-0657	2015-SEQ-0657	pre-matched	SRR22858814	CFIAFB20150325	Meat	Meat	O121:H10	Stx2e
2015-SEQ-0658	2015-SEQ-0658	pre-matched	SRR8448484	CFIAFB20150326	Meat	Meat	O36:HUT	Stx2e
2015-SEQ-0659	2015-SEQ-0659	pre-matched	SRR8448493	CFIAFB20150327	Meat	Meat	OUT:H38	Stx2e
2015-SEQ-0725	2015-SEQ-0725	pre-matched	SRR8448485	CFIAFB20150328	Meat	Meat	O91:H14	Stx1a
2015-SEQ-0877	2015-SEQ-0877	pre-matched	SRR22858881	CFIAFB20130272	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-0878	2015-SEQ-0878	pre-matched	SRR22858883	CFIAFB20130273	Meat	Meat	O157:H7	Stx2c
2015-SEQ-0879	2015-SEQ-0879	pre-matched	SRR22858768	CFIAFB20140198	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-0886	2015-SEQ-0886	pre-matched	SRR22858815	CFIAFB20150336	Meat	Meat	O91:H14	Stx1a
2015-SEQ-0887	2015-SEQ-0887	pre-matched	SRR22858816	CFIAFB20150337	Meat	Meat	O91:H14	Stx1a
2015-SEQ-0888	2015-SEQ-0888	pre-matched	SRR8448482	CFIAFB20150335	Meat	Meat	O91:H14	Stx1a
2015-SEQ-0889	2015-SEQ-0889	pre-matched	SRR22858817	CFIAFB20150339	Meat	Meat	O91:H14	Stx1a
2015-SEQ-0890	2015-SEQ-0890	pre-matched	SRR22858818	CFIAFB20150340	Meat	Meat	O91:H14	Stx1a
2015-SEQ-0891	2015-SEQ-0891	pre-matched	SRR22858769	CFIAFB20140202	Meat	Meat	O157:H7	Stx2c
2015-SEQ-0964	2015-SEQ-0964	pre-matched	SRR22858799	CFIAFB20150226	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-1027	2015-SEQ-1027	pre-matched	SRR22858800	CFIAFB20150236	Meat	Meat	O157:H7	Stx2c
2015-SEQ-1048	2015-SEQ-1048	pre-matched	SRR22858801	CFIAFB20150247	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-1131	2015-SEQ-1131	pre-matched	SRR22858802	CFIAFB20150253	Vegetable	Vegetable	O157:H7	Stx2a,Stx1a
2015-SEQ-1141	2015-SEQ-1141	pre-matched	SRR8448483	CFIAFB20150349	Meat	Meat	O163:H19	Stx1a
2015-SEQ-1142	2015-SEQ-1142	pre-matched	SRR8448481	CFIAFB20150351	Meat	Meat	O86:H32	Stx2e
2015-SEQ-1454	2015-SEQ-1454	pre-matched	SRR22858820	CFIAFB20150357	Meat	Meat	O132:H18	Stx2a
2015-SEQ-1455	2015-SEQ-1455	pre-matched	SRR8448489	CFIAFB20150356	Meat	Meat	O132:H18	Stx2a
2015-SEQ-1456	2015-SEQ-1456	pre-matched	SRR22858821	CFIAFB20150359	Meat	Meat	O132:H18	Stx2a
2015-SEQ-1555	2015-SEQ-1555	pre-matched	SRR8448486	CFIAFB20160248	Meat	Meat	O91:H14	Stx1a
2015-SEQ-1635	2015-SEQ-1635	pre-matched	SRR22858823	CFIAFB20160170	Meat	Meat	O157:H7	Stx1a,Stx2a
2015-SEQ-1636	2015-SEQ-1636	pre-matched	SRR22858825	CFIAFB20160172	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-1638	2015-SEQ-1638	pre-matched	SRR22858826	CFIAFB20160174	Meat	Meat	O157:H7	Stx1a,Stx2a
2015-SEQ-1639	2015-SEQ-1639	pre-matched	SRR22858827	CFIAFB20160175	Meat	Meat	O157:H7	Stx1a,Stx2a
2015-SEQ-1640	2015-SEQ-1640	pre-matched	SRR22858828	CFIAFB20160176	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-1643	2015-SEQ-1643	pre-matched	SRR22858811	CFIAFB20160179	Meat	Meat	O157:H7	Stx1a,Stx2a
2015-SEQ-1849	2015-SEQ-1849	pre-matched	SRR22858812	CFIAFB20160185	Meat	Meat	O157:H7	Stx1a,Stx2a
2015-SEQ-1850	2015-SEQ-1850	pre-matched	SRR22858771	CFIAFB20160186	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-1868	2015-SEQ-1868	pre-matched	SRR22858782	CFIAFB20160187	Meat	Meat	O157:H7	Stx2a
2016-BUR-0134	2016-BUR-0134	pre-matched	SRR22858882	CFIAFB20000006	Meat	Meat	O157:H7	Stx2a,Stx1a
2016-BUR-0136	2016-BUR-0136	pre-matched	SRR22858836	CFIAFB20020028	Meat	Meat	O157:H7	Stx2a,Stx1a
2016-BUR-0137	2016-BUR-0137	pre-matched	SRR22858884	CFIAFB20000007	Meat	Meat	O157:H7	Stx2a,Stx1a
2016-BUR-0138	2016-BUR-0138	pre-matched	SRR22858832	CFIAFB20000008	Other	Other	O157:H7	Stx2a,Stx1a
2016-BUR-0140	2016-BUR-0140	pre-matched	SRR22858853	CFIAFB20080071	Meat	Meat	O157:H7	Stx2a,Stx1a
2016-BUR-0141	2016-BUR-0141	pre-matched	SRR22858854	CFIAFB20080072	Meat	Meat	O157:H7	Stx2a,Stx1a
2016-SEQ-0016	2016-SEQ-0016	pre-matched	SRR22858831	CFIAFB20160262	Meat	Meat	O115:H10	Stx1a
2016-SEQ-0053	2016-SEQ-0053	pre-matched	SRR22715108	CFIAFB20160269	Meat	Meat	O87:H16	Stx2b
2016-SEQ-0054	2016-SEQ-0054	pre-matched	SRR18215052	CFIAFB20160268	Meat	Meat	O176:H4	Stx1c
2016-SEQ-0055	2016-SEQ-0055	pre-matched	SRR22715083	CFIAFB20160267	Meat	Meat	O113:H21	Stx2d
2016-SEQ-0057	2016-SEQ-0057	pre-matched	SRR22715082	CFIAFB20160270	Meat	Meat	O113:H21	Stx2d
2016-SEQ-0118	2016-SEQ-0118	pre-matched	SRR22715063	CFIAFB20160277	Meat	Meat	O113:H4	Stx2d
2016-SEQ-0129	2016-SEQ-0129	pre-matched	SRR22858793	CFIAFB20160190	Meat	Meat	O157:H7	Stx2c
2016-SEQ-0130	2016-SEQ-0130	pre-matched	SRR22858804	CFIAFB20160191	Meat	Meat	O157:H7	Stx2c
2016-SEQ-0243	2016-SEQ-0243	pre-matched	SRR22858727	CFIAFB20160280	Nuts/Seeds	Nuts/Seeds	O132:H18	Stx2a
2016-SEQ-0250	2016-SEQ-0250	pre-matched	SRR18215057	CFIAFB20080069	Meat	Meat	O157:H7	Stx2a,Stx1a
2016-SEQ-0251	2016-SEQ-0251	pre-matched	SRR22858851	CFIAFB20080070	Meat	Meat	O157:H7	Stx2c
2016-SEQ-0252	2016-SEQ-0252	pre-matched	SRR14750046	CFIAFB20120266	Vegetable	Vegetable	O177:NM	Stx2h
2016-SEQ-0254	2016-SEQ-0254	pre-matched	SRR22858852	CFIAFB20130337	Nuts/Seeds	Nuts/Seeds	O174:H21	Stx2c
2016-SEQ-0255	2016-SEQ-0255	pre-matched	SRR22858841	CFIAFB20130336	Nuts/Seeds	Nuts/Seeds	O168:H8	Stx2a
2016-SEQ-0354	2016-SEQ-0354	pre-matched	SRR18215056	CFIAFB20160289	Meat	Meat	O178:H19	Stx2a,Stx1a
2016-SEQ-0355	2016-SEQ-0355	pre-matched	SRR22715047	CFIAFB20160290	Meat	Meat	O178:H19	Stx2a,Stx1a
2016-SEQ-0396	2016-SEQ-0396	pre-matched	SRR7629315	CFIAFB20120177	Meat	Meat	O157:H7	Stx2a,Stx1a
2016-SEQ-0420	2016-SEQ-0420	pre-matched	SRR22715064	CFIAFB20160291	Nuts/Seeds	Nuts/Seeds	O142:H38	Stx1d
2016-SEQ-0836	2016-SEQ-0836	pre-matched	SRR22715118	CFIAFB20160152	Meat	Meat	O157:H7	Stx2c
2016-SEQ-1059	2016-SEQ-1059	pre-matched	SRR22858901	CFIAFB20130341	Nuts/Seeds	Nuts/Seeds	O168:H8	Stx2a
2016-SEQ-1089	2016-SEQ-1089	pre-matched	SRR22715076	CFIAFB20170241	Meat	Meat	O109:H5	Stx1a
2016-SEQ-1338	2016-SEQ-1338	pre-matched	SRR22715110	CFIAFB20170256	Meat	Meat	O8:H2	Stx2b
2016-SEQ-1339	2016-SEQ-1339	pre-matched	SRR22715112	CFIAFB20170257	Meat	Meat	O8:H2	Stx2b
2016-SEQ-1340	2016-SEQ-1340	pre-matched	SRR22715111	CFIAFB20170258	Meat	Meat	O8:H2	Stx2b
2016-SEQ-1341	2016-SEQ-1341	pre-matched	SRR22715109	CFIAFB20170259	Meat	Meat	O8:H2	Stx2b
2016-SEQ-1342	2016-SEQ-1342	pre-matched	SRR22858697	CFIAFB20170260	Meat	Meat	O8:H2	Stx2b
2016-SEQ-1356	2016-SEQ-1356	pre-matched	SRR7890019	CFIAFB20170134	Flour	Flour	O8:H28	Stx2a
2016-SEQ-1373	2016-SEQ-1373	pre-matched	SRR7435871	CFIAFB20170128	Flour	Flour	O121:H19	Stx2a
2017-BUR-0001	2017-BUR-0001	pre-matched	SRR7435865	CFIAFB20170177	Flour	Flour	O8:H28	Stx2a
2017-BUR-0049	2017-BUR-0049	pre-matched	SRR7435873	CFIAFB20170191	Flour	Flour	O159:H19	Stx2a
2017-BUR-0060	2017-BUR-0060	pre-matched	SRR22858703	CFIAFB20170339	Meat	Meat	O171:H2	Stx2a
2017-BUR-0073	2017-BUR-0073	pre-matched	SRR7435869	CFIAFB20170184	Flour	Flour	O121:H19	Stx2a
2017-BUR-0074	2017-BUR-0074	pre-matched	SRR22858693	CFIAFB20170185	Flour	Flour	O121:H19	Stx2a
2017-BUR-0075	2017-BUR-0075	pre-matched	SRR22858694	CFIAFB20170186	Flour	Flour	O121:H19	Stx2a
2017-BUR-0077	2017-BUR-0077	pre-matched	SRR22858695	CFIAFB20170188	Flour	Flour	O121:H19	Stx2a
2017-CAL-0117	2017-CAL-0117	pre-matched	SRR22858842	CFIAFB20040036	Meat	Meat	O157:H7	Stx1a
2017-CAL-0118	2017-CAL-0118	pre-matched	SRR22858840	CFIAFB20040035	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-CAL-0119	2017-CAL-0119	pre-matched	SRR22858838	CFIAFB20040033	Meat	Meat	O157:H7	Stx2a
2017-CAL-0120	2017-CAL-0120	pre-matched	SRR22858837	CFIAFB20040032	Meat	Meat	O157:H7	Stx2c
2017-CAL-0121	2017-CAL-0121	pre-matched	SRR22858839	CFIAFB20040034	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-CAL-0123	2017-CAL-0123	pre-matched	SRR22858843	CFIAFB20050045	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-CAL-0125	2017-CAL-0125	pre-matched	SRR22858844	CFIAFB20070057	Meat	Meat	O157:H7	Stx2a
2017-CAL-0126	2017-CAL-0126	pre-matched	SRR22858845	CFIAFB20070058	Meat	Meat	O157:H7	Stx2a
2017-CAL-0127	2017-CAL-0127	pre-matched	SRR22858846	CFIAFB20070059	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-CAL-0128	2017-CAL-0128	pre-matched	SRR22858847	CFIAFB20070060	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-CAL-0226	2017-CAL-0226	pre-matched	SRR22858848	CFIAFB20070062	Meat	Meat	O157:H7	Stx1a,Stx2c
2017-CAL-0227	2017-CAL-0227	pre-matched	SRR22858849	CFIAFB20070063	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-CAL-0229	2017-CAL-0229	pre-matched	SRR22858850	CFIAFB20070064	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-CAL-0230	2017-CAL-0230	pre-matched	SRR22858855	CFIAFB20080073	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-CAL-0231	2017-CAL-0231	pre-matched	SRR22858856	CFIAFB20080074	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-CAL-0262	2017-CAL-0262	pre-matched	SRR7435861	CFIAFB20170169	Flour	Flour	O121:H19	Stx2a
2017-CAL-0287	2017-CAL-0287	pre-matched	SRR7435875	CFIAFB20170348	Flour	Flour	O8:H28	Stx2a
2017-CAL-0335	2017-CAL-0335	pre-matched	SRR7435870	CFIAFB20170179	Flour	Flour	O88:H25	Stx2a,Stx1a
2017-CAL-0427	2017-CAL-0427	pre-matched	SRR22858717	CFIAFB20180572	Meat	Meat	O76:H19	Stx1c
2017-DAR-0087	2017-DAR-0087	pre-matched	SRR22858704	CFIAFB20170345	Meat	Meat	O91:H14	Stx2b,Stx1a
2017-DAR-0088	2017-DAR-0088	pre-matched	SRR22858705	CFIAFB20170347	Meat	Meat	O76:H19	Stx1c
2017-GTA-0025	2017-GTA-0025	pre-matched	SRR7435876	CFIAFB20170178	Flour	Flour	O8:H28	Stx2a
2017-GTA-0042	2017-GTA-0042	pre-matched	SRR7435864	CFIAFB20170343	Flour	Flour	O187:H52	Stx1c
2017-GTA-0058	2017-GTA-0058	pre-matched	SRR22715070	CFIAFB20170170	Meat	Meat	O157:H7	Stx2c,Stx1a
2017-GTA-0059	2017-GTA-0059	pre-matched	SRR22715069	CFIAFB20170171	Meat	Meat	O157:H7	Stx1a,Stx2c
2017-GTA-0109	2017-GTA-0109	pre-matched	SRR22858692	CFIAFB20170180	Meat	Meat	O157:H7	Stx2c,Stx1a
2017-GTA-0110	2017-GTA-0110	pre-matched	SRR22715055	CFIAFB20170181	Meat	Meat	O157:H7	Stx2c,Stx1a
2017-GTA-0164	2017-GTA-0164	pre-matched	SRR22858876	CFIAFB20100224	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-GTA-0165	2017-GTA-0165	pre-matched	SRR22858877	CFIAFB20100225	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-GTA-0166	2017-GTA-0166	pre-matched	SRR22858878	CFIAFB20100226	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-GTA-0167	2017-GTA-0167	pre-matched	SRR22858893	CFIAFB20110144	Nuts/Seeds	Nuts/Seeds	O157:H7	Stx2a
2017-GTA-0244	2017-GTA-0244	pre-matched	SRR22858718	CFIAFB20180574	Meat	Meat	O78:H16	Stx1a
2017-GTA-0247	2017-GTA-0247	pre-matched	SRR22858719	CFIAFB20180575	Meat	Meat	O174:H21	Stx2c
2017-GTA-0248	2017-GTA-0248	pre-matched	SRR22858720	CFIAFB20180576	Meat	Meat	O174:H21	Stx2c
2017-GTA-0249	2017-GTA-0249	pre-matched	SRR22858721	CFIAFB20180577	Meat	Meat	O174:H21	Stx2c
2017-GTA-0253	2017-GTA-0253	pre-matched	SRR22715125	CFIAFB20180223	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-HCLON-0011	2017-HCLON-0011	pre-matched	SRR22858824	CFIAFB20160171	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-HCLON-0013	2017-HCLON-0013	pre-matched	SRR22715117	CFIAFB20160139	Meat	Meat	O185:H7	Stx2c
2017-MER-0036	2017-MER-0036	pre-matched	SRR14750051	CFIAFB20160173	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-MER-0037	2017-MER-0037	pre-matched	SRR22858829	CFIAFB20160177	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-MER-0049	2017-MER-0049	pre-matched	SRR22715051	CFIAFB20160142	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-MER-0052	2017-MER-0052	pre-matched	SRR22715067	CFIAFB20170176	Meat	Meat	O157:H7	Stx2a
2017-MER-0170	2017-MER-0170	pre-matched	SRR22715060	CFIAFB20170287	Meat	Meat	O113:H21	Stx2d
2017-MER-0171	2017-MER-0171	pre-matched	SRR7435872	CFIAFB20170269	Flour	Flour	O8:H28	Stx2a
2017-MER-0172	2017-MER-0172	pre-matched	SRR8448487	CFIAFB20160250	Meat	Meat	O163:H19	Stx1a
2017-MER-0173	2017-MER-0173	pre-matched	SRR8448491	CFIAFB20150352	Meat	Meat	O91:H14	Stx1a
2017-MER-0187	2017-MER-0187	pre-matched	SRR22858764	CFIAFB20130346	Meat	Meat	O157:H7	Stx2c
2017-MER-0214	2017-MER-0214	pre-matched	SRR22715088	CFIAFB20170162	Meat	Meat	O157:H7	Stx2c,Stx1a
2017-MER-0215	2017-MER-0215	pre-matched	SRR22715087	CFIAFB20170163	Meat	Meat	O157:H7	Stx2c,Stx1a
2017-MER-0216	2017-MER-0216	pre-matched	SRR22858728	CFIAFB20170164	Meat	Meat	O157:H7	Stx2c,Stx1a
2017-MER-0217	2017-MER-0217	pre-matched	SRR22858729	CFIAFB20170165	Meat	Meat	O157:H7	Stx1a,Stx2c
2017-MER-0250	2017-MER-0250	pre-matched	SRR22715089	CFIAFB20170154	Meat	Meat	O157:H7	Stx2a
2017-MER-0306	2017-MER-0306	pre-matched	SRR22858868	CFIAFB20100189	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-MER-0335	2017-MER-0335	pre-matched	SRR22858819	CFIAFB20160192	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-MER-0336	2017-MER-0336	pre-matched	SRR22858830	CFIAFB20160193	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-MER-0377	2017-MER-0377	pre-matched	SRR22858891	CFIAFB20110141	Meat	Meat	O157:H7	Stx2a
2017-MER-0388	2017-MER-0388	pre-matched	SRR22715043	CFIAFB20170307	Meat	Meat	O128:H2	Stx2b,Stx1c
2017-MER-0403	2017-MER-0403	pre-matched	SRR22858822	CFIAFB20160155	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-MER-0414	2017-MER-0414	pre-matched	SRR8448490	CFIAFB20150153	Meat	Meat	O157:H7	Stx2a
2017-MER-0420	2017-MER-0420	pre-matched	SRR22715079	CFIAFB20170330	Meat	Meat	O91:H14	Stx1a
2017-MER-0516	2017-MER-0516	pre-matched	SRR7629316	CFIAFB20130253	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2017-MER-0517	2017-MER-0517	pre-matched	SRR7629290	CFIAFB20130257	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2017-MER-0518	2017-MER-0518	pre-matched	SRR7629328	CFIAFB20130258	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2017-MER-0519	2017-MER-0519	pre-matched	SRR7629288	CFIAFB20130260	Dairy	Dairy	O157:H7	Stx2a,Stx1a
2017-MER-0520	2017-MER-0520	pre-matched	SRR7629292	CFIAFB20130261	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2017-MER-0539	2017-MER-0539	pre-matched	SRR22858873	CFIAFB20100214	Meat	Meat	O157:H7	Stx2a,Stx1a
